               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11591,            0.019907,                   0,            0.012109,            0.023077,           0.0011708,          0.00026658,            0.086388,            0.015752,                   0,           0.0015877,           0.0015877,             0.02678
                   1,            0.083197,             0.01985,                   0,            0.086794,             0.16923,            0.055292,            0.011213,            0.069217,            0.013853,                   0,           0.0031877,           0.0031877,             0.00338
                   2,              0.0759,             0.01691,                   0,             0.14087,             0.47692,             0.11512,             0.02151,            0.057821,            0.014072,                   0,           0.0031998,           0.0031998,           0.0031998
                   3,            0.059068,            0.018597,                   0,             0.43854,             0.39231,             0.39911,             0.10566,            0.057614,            0.012674,                   0,           0.0031993,           0.0031993,           0.0031993
                   4,            0.054359,            0.016974,                   0,              0.4305,             0.76755,             0.56739,             0.15682,            0.042025,            0.012927,                   0,           0.0031984,           0.0031984,           0.0031984
                   5,            0.044686,            0.015289,                   0,             0.60978,             0.86547,             0.71387,             0.25271,            0.037313,            0.011631,                   0,           0.0031972,           0.0031972,           0.0031972
                   6,            0.045327,             0.01413,                   0,             0.34118,             0.91538,             0.35249,             0.10657,            0.040596,           0.0099687,                   0,           0.0031956,           0.0031956,           0.0031956
                   7,            0.041304,            0.013681,                   0,             0.90416,             0.94342,             0.96517,             0.49062,            0.029573,           0.0093852,                   0,           0.0031936,           0.0031936,           0.0031936
                   8,            0.036504,            0.011634,                   0,             0.80643,             0.93077,             0.88633,             0.44865,            0.035638,           0.0081414,                   0,           0.0031913,           0.0031913,           0.0031913
                   9,            0.034005,            0.011016,                   0,             0.84482,             0.96923,             0.89345,             0.28828,            0.032007,           0.0079717,                   0,           0.0031887,           0.0031887,           0.0031887
                  10,            0.030309,            0.010641,                   0,             0.71954,             0.91538,             0.85197,             0.37215,            0.035009,           0.0073647,                   0,           0.0031857,           0.0031857,           0.0031857
                  11,            0.030848,           0.0093822,                   0,             0.88721,             0.96817,             0.97741,             0.53041,            0.026362,           0.0071443,                   0,           0.0031823,           0.0031823,           0.0031823
                  12,            0.031838,           0.0093699,                   0,             0.96109,             0.95385,             0.94279,             0.40348,            0.029744,           0.0072995,                   0,           0.0031786,           0.0031786,           0.0031786
                  13,            0.027841,           0.0089404,                   0,             0.98451,             0.98462,             0.98516,             0.57627,            0.027026,            0.006901,                   0,           0.0031746,           0.0031746,           0.0031746
                  14,             0.02859,           0.0087372,                   0,             0.98467,             0.99231,             0.98981,             0.54217,            0.026878,           0.0068671,                   0,           0.0031702,           0.0031702,           0.0031702
                  15,             0.02846,           0.0085588,                   0,             0.98464,             0.99231,             0.98942,             0.51886,            0.026946,           0.0069946,                   0,           0.0031654,           0.0031654,           0.0031654
                  16,            0.026341,           0.0083652,                   0,             0.99228,             0.99231,             0.99377,             0.54454,            0.026505,            0.006588,                   0,           0.0031604,           0.0031604,           0.0031604
                  17,            0.025539,           0.0079692,                   0,             0.99231,             0.99226,               0.994,             0.65621,            0.023899,           0.0063913,                   0,           0.0031549,           0.0031549,           0.0031549
                  18,            0.023362,           0.0076493,                   0,             0.99222,             0.99231,             0.99269,             0.65786,            0.020166,           0.0061516,                   0,           0.0031491,           0.0031491,           0.0031491
                  19,            0.023227,           0.0074569,                   0,             0.99219,             0.99231,               0.993,             0.68657,             0.01961,           0.0061949,                   0,            0.003143,            0.003143,            0.003143
                  20,            0.021633,           0.0076112,                   0,             0.99216,             0.98462,             0.99392,              0.6492,            0.019441,            0.006126,                   0,           0.0031366,           0.0031366,           0.0031366
                  21,            0.022763,           0.0073376,                   0,             0.99221,             0.99231,               0.992,             0.71783,            0.018314,           0.0058048,                   0,           0.0031298,           0.0031298,           0.0031298
                  22,            0.023437,           0.0075171,                   0,             0.99224,             0.99231,             0.99285,             0.63223,            0.019956,           0.0059525,                   0,           0.0031226,           0.0031226,           0.0031226
                  23,            0.024659,           0.0072708,                   0,             0.99228,             0.99231,             0.99385,             0.64431,            0.019622,           0.0059376,                   0,           0.0031151,           0.0031151,           0.0031151
                  24,            0.023783,           0.0073486,                   0,             0.98442,             0.99231,             0.98982,             0.66966,            0.018789,           0.0060383,                   0,           0.0031073,           0.0031073,           0.0031073
                  25,            0.020876,           0.0069714,                   0,             0.98473,             0.99229,             0.99399,             0.62476,            0.021738,           0.0060719,                   0,           0.0030992,           0.0030992,           0.0030992
                  26,            0.020607,           0.0068595,                   0,             0.99998,             0.98462,             0.99435,             0.68764,            0.017956,           0.0060578,                   0,           0.0030907,           0.0030907,           0.0030907
                  27,            0.021393,            0.006768,                   0,                   1,             0.98392,             0.99435,             0.55059,            0.024059,           0.0063573,                   0,           0.0030819,           0.0030819,           0.0030819
                  28,            0.022385,           0.0069483,                   0,             0.99225,             0.98455,             0.99365,             0.63952,            0.018785,           0.0061016,                   0,           0.0030728,           0.0030728,           0.0030728
                  29,            0.020858,           0.0067021,                   0,             0.97685,             0.98462,             0.99029,             0.65313,            0.022892,           0.0062304,                   0,           0.0030634,           0.0030634,           0.0030634
                  30,            0.021028,           0.0068349,                   0,              0.9697,             0.98459,               0.993,             0.66047,            0.020832,           0.0061254,                   0,           0.0030536,           0.0030536,           0.0030536
                  31,             0.02038,           0.0066256,                   0,             0.99225,             0.98438,             0.99448,             0.67869,            0.018138,           0.0058087,                   0,           0.0030436,           0.0030436,           0.0030436
                  32,            0.020275,            0.006431,                   0,             0.96992,             0.99216,             0.99162,             0.65815,            0.017803,            0.005964,                   0,           0.0030332,           0.0030332,           0.0030332
                  33,            0.018459,           0.0062936,                   0,             0.98404,             0.98462,             0.99336,             0.63685,              0.0172,           0.0058027,                   0,           0.0030225,           0.0030225,           0.0030225
                  34,             0.01783,           0.0061626,                   0,             0.99225,             0.98445,             0.99353,             0.71766,            0.015857,           0.0056658,                   0,           0.0030114,           0.0030114,           0.0030114
                  35,            0.019063,            0.006476,                   0,             0.99215,             0.99231,             0.99423,             0.70388,            0.018967,           0.0059424,                   0,           0.0030001,           0.0030001,           0.0030001
                  36,            0.018245,           0.0060055,                   0,             0.98449,             0.97641,             0.98651,             0.70758,            0.018056,           0.0061836,                   0,           0.0029885,           0.0029885,           0.0029885
                  37,            0.019944,           0.0063521,                   0,             0.96953,             0.99231,             0.99265,             0.66723,             0.02013,           0.0058689,                   0,           0.0029766,           0.0029766,           0.0029766
                  38,            0.019346,           0.0061989,                   0,             0.97662,             0.99231,             0.99376,             0.69332,            0.017154,           0.0058056,                   0,           0.0029644,           0.0029644,           0.0029644
                  39,            0.019192,           0.0063178,                   0,             0.99225,             0.98437,             0.99338,             0.73166,            0.016536,           0.0056533,                   0,           0.0029518,           0.0029518,           0.0029518
                  40,             0.01808,           0.0062386,                   0,             0.97727,             0.99215,             0.99274,             0.70581,            0.018388,           0.0059765,                   0,            0.002939,            0.002939,            0.002939
                  41,            0.018692,           0.0059442,                   0,             0.99225,             0.98454,             0.99369,             0.69187,            0.018236,           0.0058526,                   0,           0.0029259,           0.0029259,           0.0029259
                  42,            0.017818,           0.0061197,                   0,             0.98457,             0.99231,             0.99454,             0.67924,            0.021514,            0.005871,                   0,           0.0029125,           0.0029125,           0.0029125
                  43,            0.018856,            0.006239,                   0,             0.99231,             0.99223,             0.99492,              0.7669,            0.015466,            0.005622,                   0,           0.0028989,           0.0028989,           0.0028989
                  44,            0.018445,           0.0061104,                   0,             0.99225,             0.98435,             0.99409,             0.64651,            0.020367,           0.0056195,                   0,           0.0028849,           0.0028849,           0.0028849
                  45,            0.018527,           0.0060436,                   0,             0.99219,             0.98462,             0.99408,             0.75307,            0.014957,            0.005525,                   0,           0.0028707,           0.0028707,           0.0028707
                  46,            0.017842,           0.0062222,                   0,             0.96966,             0.98333,             0.99078,             0.74234,            0.015681,           0.0060534,                   0,           0.0028562,           0.0028562,           0.0028562
                  47,            0.016437,           0.0059516,                   0,             0.99219,             0.97688,             0.99377,             0.72092,             0.01548,           0.0061372,                   0,           0.0028414,           0.0028414,           0.0028414
                  48,            0.016923,           0.0059395,                   0,             0.99231,             0.99229,             0.99362,             0.74365,             0.01606,            0.005889,                   0,           0.0028264,           0.0028264,           0.0028264
                  49,            0.015293,           0.0059444,                   0,             0.99225,             0.98428,             0.99446,             0.70015,            0.016253,           0.0059591,                   0,           0.0028111,           0.0028111,           0.0028111
                  50,            0.016509,           0.0057204,                   0,             0.99989,             0.97692,              0.9944,             0.71484,            0.017164,           0.0058502,                   0,           0.0027956,           0.0027956,           0.0027956
                  51,            0.018115,           0.0058389,                   0,              0.9774,                   1,              0.9947,             0.75156,            0.014726,           0.0057849,                   0,           0.0027798,           0.0027798,           0.0027798
                  52,             0.01651,           0.0060321,                   0,             0.99237,             0.99994,             0.99492,             0.73923,            0.016439,           0.0056594,                   0,           0.0027638,           0.0027638,           0.0027638
                  53,            0.016291,           0.0056389,                   0,              0.9922,             0.99231,             0.99485,             0.73485,             0.01491,           0.0056634,                   0,           0.0027475,           0.0027475,           0.0027475
                  54,            0.016323,           0.0059508,                   0,             0.98461,             0.98456,             0.99366,             0.73525,            0.015274,           0.0058345,                   0,           0.0027309,           0.0027309,           0.0027309
                  55,            0.016123,           0.0056261,                   0,             0.99187,             0.97692,             0.99425,             0.71985,             0.01675,            0.005661,                   0,           0.0027142,           0.0027142,           0.0027142
                  56,            0.015992,           0.0055043,                   0,             0.99998,             0.99231,               0.995,             0.72322,            0.016617,           0.0055165,                   0,           0.0026972,           0.0026972,           0.0026972
                  57,            0.015307,           0.0058274,                   0,             0.99224,             0.99231,             0.99477,             0.70118,            0.018868,           0.0057202,                   0,             0.00268,             0.00268,             0.00268
                  58,            0.014675,           0.0056904,                   0,             0.99231,             0.99227,             0.99492,             0.73604,            0.015223,           0.0055038,                   0,           0.0026625,           0.0026625,           0.0026625
                  59,            0.015693,           0.0055567,                   0,             0.99231,             0.99226,             0.99477,             0.71048,            0.017087,           0.0056067,                   0,           0.0026448,           0.0026448,           0.0026448
                  60,            0.016306,           0.0058487,                   0,             0.98431,             0.98462,             0.99402,             0.70662,            0.015149,           0.0055069,                   0,            0.002627,            0.002627,            0.002627
                  61,            0.014747,           0.0056363,                   0,             0.99225,             0.98453,              0.9947,             0.71175,            0.016651,           0.0054301,                   0,           0.0026089,           0.0026089,           0.0026089
                  62,            0.015904,           0.0054557,                   0,             0.98473,             0.99218,             0.99477,             0.73809,            0.016069,           0.0054379,                   0,           0.0025906,           0.0025906,           0.0025906
                  63,            0.015726,           0.0055563,                   0,             0.99902,             0.96154,             0.99381,             0.71452,            0.016057,           0.0057109,                   0,           0.0025721,           0.0025721,           0.0025721
                  64,            0.015171,           0.0054803,                   0,             0.99973,             0.99231,               0.995,             0.73687,            0.016758,           0.0052726,                   0,           0.0025534,           0.0025534,           0.0025534
                  65,            0.014498,           0.0055373,                   0,             0.99989,             0.98462,             0.99485,              0.7273,            0.015935,           0.0054747,                   0,           0.0025345,           0.0025345,           0.0025345
                  66,            0.013827,           0.0053251,                   0,             0.99993,             0.99231,               0.995,             0.74595,            0.014316,           0.0052149,                   0,           0.0025154,           0.0025154,           0.0025154
                  67,            0.013947,           0.0054042,                   0,             0.99237,             0.99986,               0.995,             0.71296,            0.015893,           0.0052881,                   0,           0.0024961,           0.0024961,           0.0024961
                  68,            0.014623,           0.0052097,                   0,                   1,             0.98456,             0.99477,             0.75906,            0.014253,           0.0055908,                   0,           0.0024767,           0.0024767,           0.0024767
                  69,             0.01501,           0.0055458,                   0,             0.99995,             0.98462,             0.99485,             0.72605,            0.015066,           0.0056735,                   0,           0.0024571,           0.0024571,           0.0024571
                  70,            0.013769,           0.0052171,                   0,                   1,             0.98451,              0.9947,             0.70483,             0.01623,           0.0054189,                   0,           0.0024373,           0.0024373,           0.0024373
                  71,            0.014218,           0.0050188,                   0,             0.99225,             0.98458,             0.99455,             0.70293,            0.015922,           0.0056894,                   0,           0.0024174,           0.0024174,           0.0024174
                  72,             0.01363,            0.004998,                   0,             0.98442,             0.98462,             0.99385,             0.73573,            0.015775,            0.006177,                   0,           0.0023973,           0.0023973,           0.0023973
                  73,            0.013698,           0.0053469,                   0,                   1,              0.9844,             0.99477,             0.73783,            0.014615,           0.0054193,                   0,           0.0023771,           0.0023771,           0.0023771
                  74,             0.01355,           0.0053618,                   0,             0.99981,             0.99231,               0.995,             0.74183,            0.014483,           0.0052992,                   0,           0.0023567,           0.0023567,           0.0023567
                  75,            0.013973,           0.0052272,                   0,             0.99218,             0.97692,             0.99416,             0.71532,            0.015851,           0.0057676,                   0,           0.0023361,           0.0023361,           0.0023361
                  76,            0.013108,           0.0050751,                   0,             0.98385,             0.94615,             0.99082,             0.70449,            0.015191,           0.0060905,                   0,           0.0023155,           0.0023155,           0.0023155
                  77,            0.013355,           0.0052824,                   0,             0.99189,             0.97692,             0.99385,             0.72332,            0.015722,           0.0059164,                   0,           0.0022947,           0.0022947,           0.0022947
                  78,            0.014752,           0.0050031,                   0,             0.99231,             0.99226,             0.99492,             0.71548,            0.015935,           0.0054243,                   0,           0.0022737,           0.0022737,           0.0022737
                  79,            0.013588,           0.0051062,                   0,             0.99225,             0.98439,             0.99408,             0.73705,             0.01605,            0.006045,                   0,           0.0022527,           0.0022527,           0.0022527
                  80,            0.013166,           0.0050627,                   0,             0.97672,             0.96838,              0.9909,             0.71618,            0.016456,           0.0062688,                   0,           0.0022315,           0.0022315,           0.0022315
                  81,            0.012317,           0.0049378,                   0,             0.98414,             0.97692,             0.99354,             0.72929,            0.015436,           0.0059506,                   0,           0.0022102,           0.0022102,           0.0022102
                  82,             0.01254,           0.0051664,                   0,             0.99997,             0.97692,             0.99462,             0.76399,            0.014469,           0.0054077,                   0,           0.0021888,           0.0021888,           0.0021888
                  83,            0.012782,           0.0051263,                   0,             0.99999,                   1,               0.995,             0.74513,            0.014384,           0.0052385,                   0,           0.0021674,           0.0021674,           0.0021674
                  84,            0.012982,           0.0049853,                   0,             0.99231,             0.99215,             0.99477,             0.73257,            0.015506,           0.0054427,                   0,           0.0021458,           0.0021458,           0.0021458
                  85,            0.012035,           0.0049568,                   0,             0.99213,             0.99231,             0.99477,             0.74127,            0.014948,           0.0055285,                   0,           0.0021241,           0.0021241,           0.0021241
                  86,             0.01285,           0.0048007,                   0,             0.99231,             0.99217,             0.99477,             0.75555,            0.014184,           0.0052414,                   0,           0.0021024,           0.0021024,           0.0021024
                  87,            0.013116,           0.0051626,                   0,              0.9999,             0.99231,               0.995,             0.73992,            0.014545,           0.0057043,                   0,           0.0020805,           0.0020805,           0.0020805
                  88,            0.012346,           0.0048094,                   0,             0.98328,             0.96154,             0.99127,             0.73628,            0.014221,           0.0062658,                   0,           0.0020586,           0.0020586,           0.0020586
                  89,            0.012105,            0.004765,                   0,             0.96086,             0.95385,             0.98789,             0.73424,            0.014226,           0.0064516,                   0,           0.0020367,           0.0020367,           0.0020367
                  90,            0.011461,            0.004709,                   0,              0.9758,             0.93044,             0.98915,              0.7558,            0.014146,           0.0063578,                   0,           0.0020146,           0.0020146,           0.0020146
                  91,            0.012187,           0.0047118,                   0,             0.96898,             0.96118,             0.98996,             0.74381,            0.015016,           0.0064016,                   0,           0.0019925,           0.0019925,           0.0019925
                  92,            0.012242,           0.0047844,                   0,             0.97692,             0.97684,             0.99177,              0.7508,            0.014226,           0.0064452,                   0,           0.0019704,           0.0019704,           0.0019704
                  93,            0.012309,           0.0047669,                   0,             0.99211,             0.96923,             0.99252,             0.72636,            0.015617,           0.0065948,                   0,           0.0019482,           0.0019482,           0.0019482
                  94,            0.011778,           0.0049155,                   0,             0.97627,             0.96154,             0.99089,             0.74609,            0.014327,           0.0064025,                   0,            0.001926,            0.001926,            0.001926
                  95,            0.010968,           0.0046675,                   0,             0.94658,             0.96154,             0.98962,             0.74267,            0.013931,             0.00644,                   0,           0.0019038,           0.0019038,           0.0019038
                  96,            0.011858,           0.0045719,                   0,             0.97691,             0.97643,             0.99259,             0.74337,            0.014943,             0.00616,                   0,           0.0018815,           0.0018815,           0.0018815
                  97,            0.011014,           0.0047677,                   0,             0.93229,             0.95319,             0.98409,             0.72124,            0.015512,            0.007073,                   0,           0.0018592,           0.0018592,           0.0018592
                  98,            0.011402,           0.0045409,                   0,             0.94602,             0.94368,             0.98541,             0.74459,            0.013879,           0.0067706,                   0,           0.0018368,           0.0018368,           0.0018368
                  99,             0.01182,           0.0046349,                   0,             0.97586,             0.95385,             0.98963,             0.73718,            0.014275,           0.0066782,                   0,           0.0018145,           0.0018145,           0.0018145
                 100,            0.011434,           0.0049097,                   0,             0.96118,             0.95225,             0.98899,             0.74967,            0.014466,           0.0064864,                   0,           0.0017922,           0.0017922,           0.0017922
                 101,            0.012042,           0.0047974,                   0,             0.97461,             0.96154,             0.99148,              0.7518,            0.014097,           0.0062387,                   0,           0.0017698,           0.0017698,           0.0017698
                 102,            0.011751,           0.0049438,                   0,                   1,             0.98387,             0.99435,             0.75828,            0.013997,             0.00561,                   0,           0.0017475,           0.0017475,           0.0017475
