               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11591,            0.019907,                   0,            0.012308,            0.023077,           0.0012122,          0.00027599,            0.086388,            0.015752,                   0,           0.0015877,           0.0015877,             0.02678
                   1,            0.083197,             0.01985,                   0,            0.086794,             0.16923,            0.055292,            0.011213,            0.069217,            0.013853,                   0,           0.0031877,           0.0031877,             0.00338
                   2,            0.076109,             0.01689,                   0,             0.14016,             0.50656,             0.11779,            0.024026,            0.059582,            0.013941,                   0,           0.0031999,           0.0031999,           0.0031999
                   3,            0.058925,            0.018632,                   0,             0.29895,             0.22308,             0.10754,            0.019936,            0.060198,            0.013001,                   0,           0.0031995,           0.0031995,           0.0031995
                   4,            0.056604,            0.016851,                   0,             0.57073,             0.66154,             0.65436,             0.20183,            0.041127,            0.013264,                   0,           0.0031989,           0.0031989,           0.0031989
                   5,            0.045484,            0.015504,                   0,             0.77834,             0.89231,             0.87889,             0.35032,            0.037304,            0.011419,                   0,            0.003198,            0.003198,            0.003198
                   6,            0.044482,            0.014132,                   0,             0.47967,             0.66154,             0.62224,             0.16732,            0.037459,           0.0099687,                   0,           0.0031969,           0.0031969,           0.0031969
                   7,            0.038253,            0.013222,                   0,             0.59544,             0.90769,             0.63809,             0.35384,            0.034462,           0.0087984,                   0,           0.0031956,           0.0031956,           0.0031956
                   8,             0.03679,            0.011654,                   0,             0.77482,             0.89994,             0.88118,             0.45043,             0.02905,           0.0089437,                   0,            0.003194,            0.003194,            0.003194
                   9,             0.03561,            0.011037,                   0,             0.98383,             0.96923,             0.98612,             0.56651,            0.028356,           0.0080726,                   0,           0.0031922,           0.0031922,           0.0031922
                  10,               0.032,            0.011002,                   0,             0.86666,             0.90769,             0.92428,             0.39581,            0.034606,           0.0078831,                   0,           0.0031901,           0.0031901,           0.0031901
