               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11254,             0.01619,            0.024286,              0.1183,             0.21405,            0.095087,            0.019979,            0.070662,            0.013269,            0.010002,           0.0015945,           0.0015945,            0.026681
                   1,            0.082003,            0.015592,           0.0057656,               0.608,             0.32609,             0.10135,            0.020405,            0.063253,            0.010168,           0.0067483,           0.0031945,           0.0031945,           0.0032807
                   2,            0.069046,            0.015051,           0.0042687,             0.76375,             0.36622,             0.29769,             0.13241,            0.050721,            0.010003,           0.0045177,           0.0031999,           0.0031999,           0.0031999
                   3,            0.059353,            0.014763,            0.003425,             0.83406,             0.42756,             0.43334,             0.19647,            0.045651,           0.0091297,           0.0037309,           0.0031995,           0.0031995,           0.0031995
                   4,            0.050238,            0.012851,           0.0028799,             0.89073,             0.46641,             0.49294,              0.2585,            0.038629,           0.0082844,           0.0028408,           0.0031989,           0.0031989,           0.0031989
                   5,            0.044685,            0.011751,           0.0022825,             0.52177,             0.68552,             0.66575,               0.301,            0.033558,           0.0074168,           0.0022248,            0.003198,            0.003198,            0.003198
                   6,            0.042063,            0.010314,           0.0021558,             0.60261,             0.67692,             0.68797,             0.28376,            0.035861,           0.0067051,           0.0019929,           0.0031969,           0.0031969,           0.0031969
                   7,            0.037871,            0.009818,           0.0018766,             0.92939,             0.66511,             0.75997,             0.35751,            0.030815,           0.0063399,           0.0018914,           0.0031956,           0.0031956,           0.0031956
                   8,            0.034481,           0.0091197,           0.0017493,             0.75143,             0.69976,             0.76186,             0.43485,            0.028655,           0.0059664,           0.0017901,            0.003194,            0.003194,            0.003194
                   9,            0.035203,            0.008434,           0.0015598,             0.84454,             0.80111,             0.83729,             0.41209,            0.027987,            0.005823,           0.0019016,           0.0031922,           0.0031922,           0.0031922
                  10,            0.033301,            0.008214,           0.0016439,             0.79068,             0.86384,             0.88361,             0.47839,            0.027201,           0.0058616,           0.0016222,           0.0031901,           0.0031901,           0.0031901
                  11,            0.032878,           0.0077236,           0.0016086,             0.88007,             0.83339,               0.874,             0.55798,            0.023976,           0.0056712,           0.0016473,           0.0031878,           0.0031878,           0.0031878
                  12,            0.032345,            0.007979,           0.0015128,              0.8326,             0.81984,             0.84237,             0.43261,            0.026813,           0.0055039,           0.0014922,           0.0031852,           0.0031852,           0.0031852
                  13,            0.030431,           0.0076085,           0.0014029,             0.78037,             0.81107,             0.83624,             0.42963,            0.024208,           0.0057682,           0.0013792,           0.0031824,           0.0031824,           0.0031824
                  14,            0.028661,           0.0075073,           0.0013778,             0.88386,             0.85991,             0.88337,             0.52368,            0.023201,           0.0052908,           0.0013852,           0.0031793,           0.0031793,           0.0031793
                  15,            0.027953,            0.007462,           0.0012349,             0.94345,              0.8814,             0.90388,             0.55681,             0.02442,           0.0051306,           0.0015397,            0.003176,            0.003176,            0.003176
