               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098632,            0.010485,            0.027044,          8.3556e-05,            0.020408,          4.0444e-05,          2.0222e-05,             0.11627,            0.010024,            0.048215,           0.0014769,           0.0014769,              0.0284
                   1,            0.086736,           0.0087674,            0.013758,                   0,                   0,                   0,                   0,             0.10943,           0.0086104,            0.064444,           0.0030769,           0.0030769,               0.005
                   2,            0.089267,           0.0076543,           0.0077408,                   0,                   0,                   0,                   0,             0.10607,           0.0076017,            0.081133,           0.0031999,           0.0031999,           0.0031999
                   3,             0.07998,           0.0073175,           0.0043905,          0.00076892,            0.061224,          0.00029503,          0.00011421,             0.10939,            0.006887,             0.11782,           0.0031995,           0.0031995,           0.0031995
                   4,            0.079494,            0.006576,           0.0027238,                   0,                   0,                   0,                   0,             0.11466,           0.0061002,             0.13309,            0.003199,            0.003199,            0.003199
                   5,            0.071329,           0.0064234,           0.0030084,                   0,                   0,                   0,                   0,             0.11332,           0.0056288,             0.11946,           0.0031981,           0.0031981,           0.0031981
                   6,            0.070884,           0.0067228,           0.0029661,                   0,                   0,                   0,                   0,             0.10593,           0.0057439,             0.13467,            0.003197,            0.003197,            0.003197
                   7,            0.065118,           0.0058923,           0.0024852,                   0,                   0,                   0,                   0,            0.096155,            0.005958,             0.14502,           0.0031957,           0.0031957,           0.0031957
                   8,            0.068099,           0.0065667,           0.0021737,                   0,                   0,                   0,                   0,             0.10221,           0.0062877,             0.14541,           0.0031941,           0.0031941,           0.0031941
                   9,            0.065495,           0.0062426,           0.0018199,                   0,                   0,                   0,                   0,              0.1008,           0.0055404,             0.13415,           0.0031923,           0.0031923,           0.0031923
                  10,            0.064796,           0.0071237,            0.002361,                   0,                   0,                   0,                   0,            0.092397,            0.005822,             0.12696,           0.0031902,           0.0031902,           0.0031902
                  11,            0.058459,           0.0065814,           0.0017911,                   0,                   0,                   0,                   0,            0.088821,           0.0064908,             0.12115,           0.0031879,           0.0031879,           0.0031879
                  12,            0.048045,           0.0070065,           0.0015509,                   0,                   0,                   0,                   0,            0.088517,           0.0067803,             0.12234,           0.0031854,           0.0031854,           0.0031854
                  13,            0.059644,           0.0069467,            0.002531,                   0,                   0,                   0,                   0,            0.066773,           0.0075472,             0.12267,           0.0031826,           0.0031826,           0.0031826
                  14,            0.058977,           0.0065707,           0.0021256,                   0,                   0,                   0,                   0,            0.083476,            0.005413,             0.12205,           0.0031796,           0.0031796,           0.0031796
                  15,            0.044534,           0.0063645,            0.001417,                   0,                   0,                   0,                   0,             0.07397,           0.0065665,              0.1203,           0.0031763,           0.0031763,           0.0031763
                  16,            0.045669,           0.0063183,           0.0014773,                   0,                   0,                   0,                   0,            0.078938,            0.007354,             0.12349,           0.0031728,           0.0031728,           0.0031728
                  17,             0.06002,           0.0061909,             0.00167,                   0,                   0,                   0,                   0,            0.085407,           0.0062838,             0.12806,            0.003169,            0.003169,            0.003169
